food_type,temperature,humidity,gas_ppm,days_since_added,weight,amount_status,spoilage_status
pancakes,3.6,62.2,375,4.2,583.3,sufficient,near_spoiled
sashimi,2.2,69.4,197,4.4,390.5,sufficient,fine
cup_cakes,5.8,71.9,390,4.5,576.7,sufficient,near_spoiled
beef_salad,1.2,69.6,207,3.8,544.1,sufficient,near_spoiled
hummus,3.2,84.2,160,1.8,409.7,sufficient,fine
donuts,6.3,68.0,123,0.3,253.9,not_sufficient,fine
lobster_roll_sandwich,-0.6,64.2,127,1.4,104.3,not_sufficient,fine
apple-pie,5.0,63.0,343,4.9,524.4,sufficient,near_spoiled
creme_brulee,7.8,79.8,243,5.3,358.4,sufficient,near_spoiled
filet_mignon,2.0,78.7,146,2.3,350.3,sufficient,fine
greek_salad,3.0,83.0,104,0.4,522.3,sufficient,fine
grilled_salmon,3.0,88.2,705,4.4,141.5,not_sufficient,spoiled
bread_pudding,6.6,63.2,149,0.0,591.3,sufficient,fine
french_fries,4.2,70.4,125,3.5,207.0,not_sufficient,fine
chicken_curry,1.5,79.3,189,1.1,468.8,sufficient,fine
filet_mignon,1.2,75.5,360,3.9,453.3,sufficient,near_spoiled
seaweed_salad,3.5,78.4,160,0.0,284.8,not_sufficient,fine
ice_cream,3.5,60.1,112,1.8,464.4,sufficient,fine
nachos,6.6,62.3,243,6.5,488.0,sufficient,near_spoiled
nachos,5.3,65.1,322,7.9,506.1,sufficient,near_spoiled
sashimi,1.0,72.9,154,4.0,313.7,sufficient,fine
breakfast_burrito,5.3,79.0,187,1.9,456.9,sufficient,fine
seaweed_salad,4.7,60.7,159,1.8,273.3,not_sufficient,fine
ramen,4.7,89.3,170,1.8,163.4,not_sufficient,fine
sushi,3.3,88.0,196,2.4,223.1,not_sufficient,fine
filet_mignon,4.0,78.6,382,4.6,350.1,sufficient,near_spoiled
cheececake,2.3,82.2,270,7.2,311.3,sufficient,near_spoiled
falafel,2.4,87.8,613,3.7,448.6,sufficient,spoiled
chicken_curry,5.3,67.2,155,2.4,435.6,sufficient,fine
sushi,4.6,66.8,369,6.0,316.8,sufficient,near_spoiled
caesar_salad,1.7,76.6,136,1.2,508.1,sufficient,fine
seaweed_salad,1.8,81.5,173,2.7,415.7,sufficient,fine
bread_pudding,7.1,65.8,323,3.0,150.8,not_sufficient,near_spoiled
breakfast_burrito,2.3,81.1,155,1.1,211.9,not_sufficient,fine
french_toast,3.8,72.1,270,3.5,542.9,sufficient,near_spoiled
filet_mignon,-3.6,68.1,103,2.7,559.0,sufficient,fine
ceviche,2.1,71.3,344,9.4,407.7,sufficient,near_spoiled
lobster_roll_sandwich,1.8,74.0,323,3.9,187.0,not_sufficient,near_spoiled
filet_mignon,2.1,89.2,298,4.1,378.5,sufficient,near_spoiled
caesar_salad,3.6,85.2,120,2.1,382.0,sufficient,fine
filet_mignon,4.1,68.0,231,6.1,370.9,sufficient,near_spoiled
onion_rings,6.6,72.8,118,1.5,330.7,sufficient,fine
deviled_eggs,5.9,86.6,121,1.8,169.8,not_sufficient,fine
caesar_salad,3.5,85.2,237,2.9,263.7,not_sufficient,near_spoiled
french_toast,7.5,71.3,154,2.2,588.9,sufficient,fine
breakfast_burrito,5.2,70.1,194,4.2,319.9,sufficient,fine
deviled_eggs,7.0,77.5,285,3.9,169.1,not_sufficient,near_spoiled
sashimi,2.4,88.4,188,1.5,513.3,sufficient,fine
chocolate_cake,3.5,86.5,148,0.0,174.8,not_sufficient,fine
hummus,3.5,82.0,703,5.1,109.3,not_sufficient,spoiled
fried_calamari,1.1,63.3,250,4.4,534.5,sufficient,near_spoiled
french_fries,1.3,75.7,219,8.7,433.5,sufficient,near_spoiled
baklava,6.2,79.7,121,2.7,359.2,sufficient,fine
risotto,5.7,87.8,190,4.3,168.1,not_sufficient,fine
greek_salad,3.3,85.4,136,1.0,435.2,sufficient,fine
hot_and_sour_soup,4.2,72.6,170,0.2,183.3,not_sufficient,fine
chocolate_cake,7.8,86.8,149,0.9,251.1,not_sufficient,fine
chocolate_cake,5.7,72.3,143,0.3,109.2,not_sufficient,fine
cup_cakes,9.2,63.2,148,0.0,256.4,not_sufficient,fine
grilled_salmon,0.4,86.9,100,1.2,206.5,not_sufficient,fine
spaghetti_carbonara,2.9,60.0,189,0.4,274.9,not_sufficient,fine
beef_salad,-0.8,85.9,190,0.0,380.0,sufficient,fine
macaroni_and_cheese,2.1,63.7,194,0.3,480.7,sufficient,fine
fish_and_chips,4.5,74.5,138,2.0,266.7,not_sufficient,fine
beef_salad,2.7,76.1,279,4.5,548.8,sufficient,near_spoiled
pizza,4.3,77.6,102,2.1,120.8,not_sufficient,fine
hot_dog,3.9,79.4,136,0.0,404.2,sufficient,fine
garlic_bread,4.3,70.4,360,3.8,580.4,sufficient,near_spoiled
bread_pudding,3.9,88.7,128,0.0,388.8,sufficient,fine
cheececake,1.5,79.5,333,5.3,421.6,sufficient,near_spoiled
ramen,3.1,71.7,230,6.6,392.3,sufficient,near_spoiled
falafel,2.1,85.6,149,1.3,191.5,not_sufficient,fine
greek_salad,2.1,84.8,681,4.8,220.6,not_sufficient,spoiled
caesar_salad,3.4,63.5,151,0.3,496.7,sufficient,fine
chicken_wings,3.0,85.3,352,6.7,332.6,sufficient,near_spoiled
fried_calamari,-1.8,89.3,359,4.1,178.7,not_sufficient,near_spoiled
nachos,4.8,80.1,326,5.4,140.4,not_sufficient,near_spoiled
chicken_wings,3.6,84.3,171,4.6,199.9,not_sufficient,fine
deviled_eggs,7.3,81.0,273,3.6,127.6,not_sufficient,near_spoiled
hot_and_sour_soup,4.4,80.0,163,0.0,430.2,sufficient,fine
lobster_roll_sandwich,4.2,71.3,119,1.4,257.4,not_sufficient,fine
deviled_eggs,4.6,73.2,381,5.7,357.1,sufficient,near_spoiled
deviled_eggs,6.5,83.3,102,2.4,353.3,sufficient,fine
sushi,5.7,72.9,119,0.5,185.4,not_sufficient,fine
pancakes,2.3,82.7,330,6.0,111.8,not_sufficient,near_spoiled
nachos,5.6,72.5,134,3.8,203.3,not_sufficient,fine
hot_and_sour_soup,4.1,76.4,600,5.5,158.8,not_sufficient,spoiled
chicken_curry,1.1,64.7,132,1.0,404.7,sufficient,fine
onion_rings,5.1,73.1,189,1.9,578.5,sufficient,fine
falafel,4.8,74.2,195,0.0,140.0,not_sufficient,fine
edamame,5.3,63.7,337,4.1,192.8,not_sufficient,near_spoiled
filet_mignon,3.1,65.1,134,2.7,351.8,sufficient,fine
chocolate_cake,6.9,82.8,326,6.3,109.0,not_sufficient,near_spoiled
sashimi,2.8,68.8,362,6.2,138.8,not_sufficient,near_spoiled
baklava,5.5,84.8,343,4.0,587.2,sufficient,near_spoiled
cheese_plate,3.7,87.0,150,3.7,147.8,not_sufficient,fine
beef_carpaccio,1.8,64.7,431,6.1,266.9,not_sufficient,spoiled
onion_rings,6.5,68.1,285,2.9,134.1,not_sufficient,near_spoiled
hot_and_sour_soup,3.0,70.5,243,3.0,539.6,sufficient,near_spoiled
hot_and_sour_soup,1.6,87.8,759,4.0,193.7,not_sufficient,spoiled
sashimi,3.1,87.2,206,8.0,115.8,not_sufficient,near_spoiled
beef_salad,1.3,66.2,345,4.8,441.9,sufficient,near_spoiled
hot_dog,3.3,82.9,161,0.0,236.0,not_sufficient,fine
macaroni_and_cheese,1.9,69.8,120,0.0,148.5,not_sufficient,fine
chicken_curry,1.2,70.2,120,1.1,310.5,sufficient,fine
filet_mignon,-0.2,67.2,213,4.1,462.9,sufficient,near_spoiled
dumplings,4.3,88.9,196,3.0,215.6,not_sufficient,fine
dumplings,3.6,80.1,174,2.2,227.1,not_sufficient,fine
edamame,2.6,89.9,292,4.7,306.7,sufficient,near_spoiled
onion_rings,4.3,80.7,240,4.6,152.6,not_sufficient,near_spoiled
apple-pie,5.8,63.5,159,0.7,175.3,not_sufficient,fine
caesar_salad,1.7,77.1,232,4.2,489.5,sufficient,near_spoiled
onion_rings,2.7,67.9,309,4.1,321.5,sufficient,near_spoiled
donuts,5.3,70.4,106,0.9,129.3,not_sufficient,fine
filet_mignon,2.7,75.0,136,0.7,326.5,sufficient,fine
fried_rice,2.7,74.4,398,2.7,520.5,sufficient,near_spoiled
french_onion_soup,7.2,78.6,177,1.9,315.2,sufficient,fine
baklava,6.2,68.0,639,7.8,304.4,sufficient,spoiled
fish_and_chips,4.4,81.0,105,2.4,398.6,sufficient,fine
fried_rice,5.4,67.9,167,1.2,325.3,sufficient,fine
fried_calamari,3.0,85.6,290,6.7,228.0,not_sufficient,near_spoiled
cup_cakes,8.8,67.8,167,0.5,156.6,not_sufficient,fine
waffles,7.0,60.9,112,1.0,315.6,sufficient,fine
hot_dog,2.5,61.2,238,2.6,190.5,not_sufficient,near_spoiled
sushi,3.3,85.2,365,8.3,117.1,not_sufficient,near_spoiled
omelette,2.6,86.4,133,3.3,477.1,sufficient,fine
fried_rice,5.1,63.1,170,1.4,231.8,not_sufficient,fine
french_toast,7.6,89.1,391,2.6,582.9,sufficient,near_spoiled
fried_rice,3.7,76.0,130,1.9,560.7,sufficient,fine
onion_rings,6.5,75.5,183,1.9,323.8,sufficient,fine
creme_brulee,7.7,84.7,319,7.0,166.1,not_sufficient,near_spoiled
nachos,5.3,64.0,104,3.1,243.1,not_sufficient,fine
falafel,4.6,70.3,135,0.0,567.4,sufficient,fine
deviled_eggs,5.5,68.6,142,1.9,563.4,sufficient,fine
carrot_cake,5.2,66.2,148,0.0,432.2,sufficient,fine
cheececake,2.2,82.9,354,5.8,166.3,not_sufficient,near_spoiled
beef_carpaccio,3.6,80.9,124,2.4,122.5,not_sufficient,fine
pizza,4.6,83.1,187,1.6,238.3,not_sufficient,fine
grilled_salmon,4.0,81.5,387,2.3,491.6,sufficient,near_spoiled
filet_mignon,4.6,81.9,133,3.3,166.9,not_sufficient,fine
hot_dog,3.6,85.4,171,0.4,128.0,not_sufficient,fine
lobster_roll_sandwich,-1.4,64.5,123,0.9,392.2,sufficient,fine
french_fries,4.9,68.6,323,5.8,321.6,sufficient,near_spoiled
sashimi,0.4,84.1,188,3.7,141.5,not_sufficient,fine
deviled_eggs,5.0,79.0,158,1.9,470.8,sufficient,fine
lobster_roll_sandwich,2.8,85.2,514,5.7,588.3,sufficient,spoiled
filet_mignon,1.3,75.6,303,5.7,396.4,sufficient,near_spoiled
carrot_cake,5.9,68.4,125,1.0,282.8,not_sufficient,fine
greek_salad,4.6,78.1,348,1.9,236.8,not_sufficient,near_spoiled
french_toast,6.3,63.9,170,0.0,420.0,sufficient,fine
fried_calamari,-0.0,89.5,200,2.1,439.2,sufficient,fine
chicken_wings,1.8,81.2,126,3.4,541.5,sufficient,fine
french_fries,4.3,66.7,338,5.9,127.3,not_sufficient,near_spoiled
ceviche,2.9,77.8,285,8.7,370.4,sufficient,near_spoiled
chicken_curry,0.3,62.7,387,5.6,152.3,not_sufficient,near_spoiled
cheececake,3.1,62.1,119,4.1,534.9,sufficient,fine
filet_mignon,1.8,72.7,264,6.7,326.9,sufficient,near_spoiled
beef_salad,0.5,69.1,159,1.9,178.1,not_sufficient,fine
chocolate_cake,7.7,82.3,289,4.2,184.0,not_sufficient,near_spoiled
ceviche,0.5,80.5,100,3.7,119.8,not_sufficient,fine
deviled_eggs,5.1,74.7,236,4.7,127.5,not_sufficient,near_spoiled
spaghetti_carbonara,4.7,65.7,165,2.1,149.7,not_sufficient,fine
cheese_plate,-0.8,72.5,149,2.9,144.3,not_sufficient,fine
fried_calamari,0.3,83.8,182,0.4,444.7,sufficient,fine
dumplings,6.6,90.0,140,1.7,541.5,sufficient,fine
creme_brulee,5.6,62.2,390,5.8,433.6,sufficient,near_spoiled
cup_cakes,2.9,62.0,126,1.1,401.6,sufficient,fine
pizza,5.1,70.7,172,2.5,566.3,sufficient,fine
carrot_cake,4.9,74.0,736,4.3,423.4,sufficient,spoiled
breakfast_burrito,2.5,69.1,168,3.8,426.3,sufficient,fine
strawberry_shortcake,4.4,64.8,126,1.3,263.3,not_sufficient,fine
cup_cakes,4.1,73.3,181,2.1,536.0,sufficient,fine
cup_cakes,5.1,83.7,552,6.1,171.4,not_sufficient,spoiled
creme_brulee,5.3,76.4,259,5.2,297.0,not_sufficient,near_spoiled
onion_rings,6.0,65.6,124,2.5,252.7,not_sufficient,fine
hot_dog,2.6,63.6,276,1.9,101.6,not_sufficient,near_spoiled
french_onion_soup,5.5,82.4,269,4.8,581.2,sufficient,near_spoiled
sashimi,2.0,72.1,141,4.7,443.5,sufficient,fine
macaroni_and_cheese,2.2,79.8,174,0.2,306.6,sufficient,fine
waffles,5.8,80.1,250,3.6,581.2,sufficient,near_spoiled
fish_and_chips,5.5,87.7,337,5.7,516.2,sufficient,near_spoiled
cheese_plate,2.1,73.4,104,4.3,478.4,sufficient,fine
cheececake,1.9,74.6,377,7.6,111.9,not_sufficient,near_spoiled
cheececake,2.6,74.1,148,3.5,273.9,not_sufficient,fine
ceviche,1.4,67.3,194,5.0,290.5,not_sufficient,fine
ramen,4.2,60.4,266,6.0,316.6,sufficient,near_spoiled
baklava,4.9,61.5,117,0.0,170.3,not_sufficient,fine
hummus,4.8,81.4,160,1.5,248.8,not_sufficient,fine
ice_cream,2.0,66.7,174,2.4,148.3,not_sufficient,fine
strawberry_shortcake,10.0,79.2,597,3.2,354.7,sufficient,spoiled
lobster_roll_sandwich,0.8,88.2,195,0.3,289.4,not_sufficient,fine
filet_mignon,1.8,63.0,282,5.3,547.2,sufficient,near_spoiled
dumplings,4.9,72.9,113,1.5,172.0,not_sufficient,fine
chocolate_cake,6.5,75.2,173,3.3,467.7,sufficient,fine
dumplings,6.8,63.3,159,1.6,513.4,sufficient,fine
fried_rice,6.8,83.1,163,0.0,597.6,sufficient,fine
caesar_salad,5.3,86.7,545,5.1,450.3,sufficient,spoiled
dumplings,3.0,70.7,110,3.5,596.7,sufficient,fine
pancakes,7.7,79.1,134,1.5,118.8,not_sufficient,fine
seaweed_salad,2.7,82.2,155,0.0,543.6,sufficient,fine
french_onion_soup,5.3,75.3,213,4.7,216.9,not_sufficient,near_spoiled
filet_mignon,1.4,63.6,157,3.2,473.2,sufficient,fine
beef_salad,0.0,65.1,174,0.0,534.6,sufficient,fine
lobster_roll_sandwich,1.6,71.3,785,6.5,515.6,sufficient,spoiled
ceviche,3.3,70.0,115,4.3,124.5,not_sufficient,fine
ramen,3.7,64.1,176,3.4,570.0,sufficient,fine
waffles,5.1,84.4,138,2.9,461.0,sufficient,fine
fried_calamari,1.2,85.2,151,2.7,293.0,not_sufficient,fine
beef_salad,-0.5,62.3,183,2.4,549.5,sufficient,fine
breakfast_burrito,4.4,64.7,263,6.7,587.5,sufficient,near_spoiled
lobster_roll_sandwich,-0.3,81.5,115,0.0,164.9,not_sufficient,fine
dumplings,6.6,76.0,567,7.4,192.6,not_sufficient,spoiled
french_onion_soup,5.6,76.1,286,3.6,552.9,sufficient,near_spoiled
french_onion_soup,6.4,69.4,144,1.3,172.7,not_sufficient,fine
baklava,5.3,83.7,195,3.0,381.3,sufficient,fine
fish_and_chips,5.7,88.5,309,5.5,323.9,sufficient,near_spoiled
apple-pie,4.8,78.9,112,0.6,353.8,sufficient,fine
fried_calamari,2.1,68.2,272,4.3,311.3,sufficient,near_spoiled
cheececake,6.0,81.0,173,1.5,454.0,sufficient,fine
nachos,2.7,67.9,174,3.4,115.0,not_sufficient,fine
omelette,2.8,75.4,353,4.6,425.1,sufficient,near_spoiled
fried_calamari,1.8,63.6,264,5.3,146.7,not_sufficient,near_spoiled
hot_dog,1.1,65.4,430,4.1,358.4,sufficient,spoiled
ceviche,0.2,70.3,207,7.2,391.7,sufficient,near_spoiled
caesar_salad,3.6,76.4,100,1.9,179.3,not_sufficient,fine
french_onion_soup,3.3,80.5,393,3.0,355.3,sufficient,near_spoiled
sashimi,-2.1,68.1,155,3.4,309.3,sufficient,fine
breakfast_burrito,4.0,65.8,131,1.9,295.2,not_sufficient,fine
sashimi,1.5,75.1,174,4.4,277.6,not_sufficient,fine
ceviche,1.9,80.7,169,3.4,233.1,not_sufficient,fine
french_onion_soup,2.9,74.1,671,7.1,386.1,sufficient,spoiled
cheese_plate,6.7,73.7,132,3.7,425.9,sufficient,fine
falafel,4.4,60.2,605,5.2,482.0,sufficient,spoiled
strawberry_shortcake,7.3,79.4,297,1.8,142.8,not_sufficient,near_spoiled
french_fries,3.4,70.8,208,5.9,395.0,sufficient,near_spoiled
edamame,7.7,83.7,337,4.5,302.1,sufficient,near_spoiled
fried_calamari,3.8,62.1,184,3.3,442.0,sufficient,fine
hot_and_sour_soup,3.9,60.4,256,2.6,326.8,sufficient,near_spoiled
chicken_curry,2.9,72.0,300,4.1,478.6,sufficient,near_spoiled
carrot_cake,6.1,63.9,196,0.0,276.5,not_sufficient,fine
bread_pudding,3.9,89.5,348,2.5,224.3,not_sufficient,near_spoiled
edamame,4.9,69.2,151,3.0,175.3,not_sufficient,fine
cheese_plate,5.1,79.2,157,2.9,262.4,not_sufficient,fine
edamame,3.1,68.2,160,3.1,395.5,sufficient,fine
french_fries,4.2,70.5,122,3.5,327.7,sufficient,fine
falafel,6.1,69.5,108,0.0,319.8,sufficient,fine
lobster_roll_sandwich,0.8,87.2,337,4.1,459.8,sufficient,near_spoiled
ramen,5.8,82.3,143,1.7,488.7,sufficient,fine
donuts,5.6,70.6,183,1.9,548.4,sufficient,fine
spaghetti_carbonara,6.2,71.4,395,4.2,395.8,sufficient,near_spoiled
carrot_cake,7.3,77.7,780,3.5,287.7,not_sufficient,spoiled
cup_cakes,3.3,75.8,220,4.4,202.9,not_sufficient,near_spoiled
strawberry_shortcake,7.0,66.6,181,1.2,565.1,sufficient,fine
edamame,5.2,74.4,122,1.7,590.4,sufficient,fine
waffles,6.4,77.9,114,2.5,301.4,sufficient,fine
apple-pie,6.7,62.0,106,0.5,332.8,sufficient,fine
falafel,3.4,82.4,325,2.2,195.5,not_sufficient,near_spoiled
edamame,2.4,80.0,659,7.2,495.2,sufficient,spoiled
beef_carpaccio,3.1,75.4,284,2.9,465.7,sufficient,near_spoiled
beef_carpaccio,3.4,69.4,167,1.9,191.6,not_sufficient,fine
strawberry_shortcake,6.2,86.4,608,4.6,435.9,sufficient,spoiled
waffles,7.7,74.1,225,4.7,405.3,sufficient,near_spoiled
ramen,3.5,86.4,293,4.5,410.6,sufficient,near_spoiled
cheese_plate,5.6,69.1,194,4.4,219.5,not_sufficient,fine
waffles,7.3,68.4,100,0.0,371.1,sufficient,fine
spaghetti_carbonara,5.5,81.4,307,5.3,439.6,sufficient,near_spoiled
grilled_salmon,2.2,63.5,240,2.6,251.7,not_sufficient,near_spoiled
edamame,3.0,64.6,387,5.0,129.1,not_sufficient,near_spoiled
hot_and_sour_soup,3.7,70.1,309,2.0,417.0,sufficient,near_spoiled
ceviche,3.2,69.6,172,4.8,578.7,sufficient,fine
seaweed_salad,4.4,71.3,336,3.8,151.0,not_sufficient,near_spoiled
hot_dog,8.1,63.8,120,1.1,464.1,sufficient,fine
breakfast_burrito,3.8,70.0,201,6.5,351.4,sufficient,near_spoiled
donuts,5.2,61.6,176,1.1,140.3,not_sufficient,fine
dumplings,3.3,63.7,180,3.2,577.6,sufficient,fine
french_toast,7.6,60.0,523,7.0,141.0,not_sufficient,spoiled
fish_and_chips,6.1,72.3,139,2.6,163.3,not_sufficient,fine
ceviche,1.5,67.2,350,5.6,303.9,sufficient,near_spoiled
filet_mignon,2.3,69.4,268,4.6,541.3,sufficient,near_spoiled
dumplings,7.2,76.9,137,2.3,136.3,not_sufficient,fine
grilled_salmon,-0.6,75.6,172,0.0,314.5,sufficient,fine
breakfast_burrito,8.7,78.0,106,3.8,465.9,sufficient,fine
cheececake,4.2,82.5,150,2.1,224.3,not_sufficient,fine
creme_brulee,7.0,72.7,254,5.3,435.1,sufficient,near_spoiled
cup_cakes,5.4,88.0,119,2.0,492.9,sufficient,fine
hot_and_sour_soup,6.0,71.9,181,0.0,491.2,sufficient,fine
onion_rings,3.8,61.8,174,1.2,464.7,sufficient,fine
greek_salad,5.3,81.1,175,1.5,212.9,not_sufficient,fine
beef_carpaccio,1.3,86.1,226,4.6,299.0,not_sufficient,near_spoiled
sushi,5.3,63.3,134,3.0,308.2,sufficient,fine
lobster_roll_sandwich,4.4,84.8,270,2.6,401.2,sufficient,near_spoiled
greek_salad,-0.4,69.9,166,0.0,220.6,not_sufficient,fine
fish_and_chips,3.1,60.0,358,9.3,126.1,not_sufficient,near_spoiled
greek_salad,4.3,78.9,365,2.9,139.3,not_sufficient,near_spoiled
apple-pie,6.7,86.4,246,4.4,227.8,not_sufficient,near_spoiled
macaroni_and_cheese,3.4,82.6,188,1.4,392.7,sufficient,fine
waffles,4.8,78.2,313,4.5,189.0,not_sufficient,near_spoiled
macaroni_and_cheese,4.0,87.7,289,2.0,359.9,sufficient,near_spoiled
chicken_curry,0.1,88.9,131,3.2,259.3,not_sufficient,fine
deviled_eggs,5.8,73.2,221,6.9,544.6,sufficient,near_spoiled
onion_rings,4.4,74.6,348,5.0,446.3,sufficient,near_spoiled
macaroni_and_cheese,2.4,83.9,184,1.0,511.0,sufficient,fine
bread_pudding,5.4,80.7,176,1.2,483.7,sufficient,fine
strawberry_shortcake,6.0,61.8,146,0.9,220.1,not_sufficient,fine
macaroni_and_cheese,3.1,80.6,114,1.1,110.3,not_sufficient,fine
carrot_cake,5.0,67.3,123,0.0,387.1,sufficient,fine
lobster_roll_sandwich,1.4,85.5,330,4.7,111.4,not_sufficient,near_spoiled
beef_salad,3.8,71.1,101,2.2,333.5,sufficient,fine
macaroni_and_cheese,6.0,73.0,193,0.2,176.8,not_sufficient,fine
sushi,2.6,70.9,228,6.3,485.4,sufficient,near_spoiled
creme_brulee,8.1,82.6,302,5.1,578.4,sufficient,near_spoiled
falafel,6.4,74.5,198,0.0,255.4,not_sufficient,fine
french_fries,4.9,75.5,256,5.3,272.6,not_sufficient,near_spoiled
creme_brulee,8.9,61.2,229,5.7,369.5,sufficient,near_spoiled
breakfast_burrito,6.4,65.2,150,2.5,151.4,not_sufficient,fine
grilled_salmon,-0.4,89.9,136,0.8,577.1,sufficient,fine
sashimi,0.6,74.6,244,8.7,159.5,not_sufficient,near_spoiled
hummus,6.6,72.3,140,0.9,243.6,not_sufficient,fine
onion_rings,2.3,66.2,366,3.5,372.9,sufficient,near_spoiled
lobster_roll_sandwich,0.4,66.6,504,5.1,395.5,sufficient,spoiled
nachos,5.9,75.8,292,5.2,593.4,sufficient,near_spoiled
chicken_wings,2.8,61.9,100,3.3,275.8,not_sufficient,fine
bread_pudding,9.8,67.8,738,4.9,597.0,sufficient,spoiled
fried_rice,4.4,73.3,188,2.3,108.5,not_sufficient,fine
carrot_cake,4.9,87.1,179,0.7,243.5,not_sufficient,fine
french_onion_soup,4.6,83.9,100,2.4,288.1,not_sufficient,fine
lobster_roll_sandwich,1.3,63.9,169,2.5,421.2,sufficient,fine
waffles,5.9,73.9,352,4.8,596.7,sufficient,near_spoiled
sashimi,2.6,74.5,182,4.2,558.6,sufficient,fine
spaghetti_carbonara,6.0,81.2,294,6.4,117.2,not_sufficient,near_spoiled
fish_and_chips,2.2,80.3,288,6.4,126.7,not_sufficient,near_spoiled
deviled_eggs,5.5,66.3,198,3.1,500.7,sufficient,fine
hummus,5.3,63.9,201,4.7,580.7,sufficient,near_spoiled
beef_salad,0.4,70.9,164,1.6,544.3,sufficient,fine
waffles,5.6,76.8,156,0.0,375.3,sufficient,fine
pizza,4.7,62.2,104,3.5,529.4,sufficient,fine
garlic_bread,3.1,84.4,262,3.5,513.2,sufficient,near_spoiled
falafel,3.7,78.0,797,3.6,394.8,sufficient,spoiled
fried_calamari,1.2,86.2,152,1.9,293.6,not_sufficient,fine
cheese_plate,3.1,65.8,334,5.9,178.9,not_sufficient,near_spoiled
hummus,4.9,63.8,122,1.1,234.1,not_sufficient,fine
falafel,4.2,62.7,186,0.6,159.3,not_sufficient,fine
risotto,2.5,68.1,253,6.7,395.6,sufficient,near_spoiled
hot_and_sour_soup,5.1,67.3,532,3.6,248.4,not_sufficient,spoiled
fish_and_chips,5.0,60.9,109,2.4,350.0,sufficient,fine
spaghetti_carbonara,5.5,64.0,297,3.7,470.0,sufficient,near_spoiled
edamame,4.7,87.8,132,3.1,221.0,not_sufficient,fine
onion_rings,4.1,71.1,762,6.9,586.9,sufficient,spoiled
strawberry_shortcake,6.0,74.5,132,1.4,321.6,sufficient,fine
waffles,6.3,87.9,219,5.2,587.3,sufficient,near_spoiled
cup_cakes,7.7,75.6,536,7.1,163.9,not_sufficient,spoiled
beef_salad,1.4,79.1,170,1.0,555.0,sufficient,fine
sushi,4.7,68.0,170,3.5,220.4,not_sufficient,fine
dumplings,4.6,63.0,123,0.0,300.5,sufficient,fine
cup_cakes,9.8,64.2,133,0.7,440.7,sufficient,fine
nachos,6.7,68.2,112,3.1,437.3,sufficient,fine
chicken_curry,0.9,64.6,175,0.1,237.6,not_sufficient,fine
macaroni_and_cheese,2.7,72.5,319,2.6,166.6,not_sufficient,near_spoiled
waffles,5.6,61.1,139,2.3,277.1,not_sufficient,fine
hot_dog,2.8,83.1,189,0.0,463.0,sufficient,fine
chicken_wings,2.0,84.2,211,5.5,385.6,sufficient,near_spoiled
fish_and_chips,7.2,60.4,145,4.1,169.3,not_sufficient,fine
ramen,6.7,87.0,143,1.9,560.8,sufficient,fine
cup_cakes,5.4,78.7,356,4.1,577.5,sufficient,near_spoiled
chocolate_cake,6.0,75.2,324,5.5,190.7,not_sufficient,near_spoiled
cheese_plate,2.9,64.5,257,7.0,301.1,sufficient,near_spoiled
chocolate_cake,7.4,72.9,214,4.3,186.2,not_sufficient,near_spoiled
cheese_plate,3.0,70.4,105,4.6,124.5,not_sufficient,fine
caesar_salad,3.2,81.2,711,5.7,553.0,sufficient,spoiled
cheececake,2.3,61.9,181,2.1,534.0,sufficient,fine
baklava,4.1,84.7,100,0.7,382.1,sufficient,fine
chicken_wings,1.4,66.7,229,6.0,366.1,sufficient,near_spoiled
waffles,6.0,60.2,608,7.5,280.6,not_sufficient,spoiled
risotto,2.5,72.7,211,5.2,573.2,sufficient,near_spoiled
caesar_salad,2.0,61.6,110,0.0,123.0,not_sufficient,fine
nachos,3.9,90.0,129,2.7,592.1,sufficient,fine
french_onion_soup,5.7,67.8,187,1.0,189.5,not_sufficient,fine
beef_carpaccio,2.4,77.7,213,2.8,426.2,sufficient,near_spoiled
french_fries,5.0,80.2,261,6.4,523.4,sufficient,near_spoiled
fish_and_chips,4.7,75.6,363,7.5,374.1,sufficient,near_spoiled
sashimi,3.3,77.4,202,7.0,414.7,sufficient,near_spoiled
sushi,5.1,68.2,139,3.8,311.1,sufficient,fine
creme_brulee,5.8,87.8,550,10.1,264.6,not_sufficient,spoiled
ramen,3.2,68.9,113,2.1,173.3,not_sufficient,fine
ceviche,1.0,87.6,348,5.9,175.4,not_sufficient,near_spoiled
pizza,1.3,83.5,139,0.1,436.0,sufficient,fine
creme_brulee,6.7,79.2,201,5.9,262.4,not_sufficient,near_spoiled
fried_rice,6.3,75.0,395,3.2,152.5,not_sufficient,near_spoiled
donuts,6.2,82.8,295,3.1,534.5,sufficient,near_spoiled
waffles,4.8,85.3,311,4.8,229.1,not_sufficient,near_spoiled
onion_rings,3.6,84.6,107,0.8,400.6,sufficient,fine
lobster_roll_sandwich,5.2,63.0,181,2.3,376.0,sufficient,fine
strawberry_shortcake,7.7,74.5,155,0.0,567.1,sufficient,fine
garlic_bread,2.7,66.7,396,3.1,342.6,sufficient,near_spoiled
chicken_curry,4.1,75.0,379,4.0,285.8,not_sufficient,near_spoiled
edamame,2.4,60.4,321,3.7,480.1,sufficient,near_spoiled
seaweed_salad,0.5,70.8,297,5.5,468.0,sufficient,near_spoiled
